depth,metric,mean,se,location,scale
2,weightTotal,770.88,57.68,SW England (D),per individual
5,weightTotal,606.69,63.69,SW England (D),per individual
10,weightTotal,319.56,32.41,SW England (D),per individual
15,weightTotal,0,0,SW England (D),per individual
2,age,8.06,0.5,N Scotland (A),per individual
5,age,10.69,0.58,N Scotland (A),per individual
10,age,11.31,0.42,N Scotland (A),per individual
15,age,9.13,0.52,N Scotland (A),per individual
2,age,9.63,0.38,W Scotland (B),per individual
5,age,9.31,0.65,W Scotland (B),per individual
10,age,8.38,0.59,W Scotland (B),per individual
15,age,4.88,0.31,W Scotland (B),per individual
2,age,6.13,0.31,SW Wales (C),per individual
5,age,5.88,0.33,SW Wales (C),per individual
10,age,4.88,0.26,SW Wales (C),per individual
15,age,0,0,SW Wales (C),per individual
2,age,6.81,0.41,SW England (D),per individual
5,age,5.75,0.28,SW England (D),per individual
10,age,4.81,0.26,SW England (D),per individual
15,age,0,0,SW England (D),per individual
